"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
13885,116,"DET",2019,23506,59.1,0.244,0.164,0.312,0.407,0.299,0.3,0.238,793,3254,88.4,14.4,2247,88.6,88.11,1859,6778,7107,-0.5,5.93,115,154,117,150,298,323,291,"31.8","-31.8",,,3500,2327,487,177,31,98,927,26.5,223,6.4,2.28086,0.71239,0.35772,-0.08777,"91.8",169,38.07477438762355,7.305543618392781,4.857142857142857,5.91,-0.91,0.09,2.27,0.297,170,"-0.228793662",0.291,0.41,"0.228793662",0.006,0.006000000000000005,-0.003,-0.001,27.4,
13883,113,"CIN",2024,23183,59.9,0.22,0.15,0.273,0.37,0.291,0.295,0.227,706,3210,87.3,13.7,2254,88.9,89.28,1742,6467,7416,0.3999999999999915,6.46,118,151,119,150,298,322,293,"22.4","-22.4","69.2","7.3",3530,2304,448,138,15,105,906,25.7,276,7.8,2.33574,0.59051,0.30766,-0.07087,"91.4",151,35.546875,7.465277777777778,4.872521246458923,5.85,-0.75,0.1,2.33,0.29,172,"-0.161622128",0.297,0.368,"0.161622128",-0.007,-0.007000000000000006,0.002,-0.004,26.9,"39.3"
13882,110,"BAL",2024,24121,57.6,0.241,0.178,0.283,0.419,0.319,0.324,0.248,764,3175,89.7,14.1,2250,89.2,89.39,1604,6558,7324,0.20000000000000284,6.45,120,150,122,151,301,326,298,"-26.8","26.8","70.8","7.1",3505,2377,475,141,20,128,798,22.8,290,8.3,2.31694,0.59657,0.34238,-0.20152,"92.0",162,42.616743794699204,8.834665544804375,5.991440798858773,5.74,-0.8,-0.04,2.32,0.312,210,"0.193055756",0.319,0.419,"-0.193055756",-0.007,-0.007000000000000006,0,-0.005,24.5,"38.0"
13881,134,"PIT",2017,24090,57.6,0.23,0.138,0.271,0.367,0.29,0.303,0.245,733,3191,86.1,10.2,2197,88.9,88.4,1397,6337,7544,-0.5,6.02,117,153,111,149,299,314,291,"64","-64",,,3498,2470,488,139,18,88,721,20.6,260,7.4,2.1559,0.81998,0.48353,-0.01347,"91.2",162,30.44534412955466,4.412955465587045,3.1160663236134933,5.9,-0.98,0.09,2.27,0.297,109,"-0.461350047",0.312,0.379,"0.461350047",-0.015,-0.015000000000000013,-0.012,-0.013,22,
13879,158,"MIL",2016,24181,57.4,0.248,0.169,0.314,0.417,0.319,0.307,0.238,778,3133,89,10,2164,88.9,88.58,1686,6266,7613,-0.30000000000001137,6.11,114,151,108,149,294,312,292,"-20.6","20.6",,,3455,2221,500,145,15,118,912,26.4,300,8.7,2.28541,0.679,0.45659,-0.14504,"92.5",169,36.334984241332734,6.618640252138676,4.2547033285094065,6.01,-0.87,0,2.28,0.318,147,"0.148195115",0.31,0.391,"-0.148195115",0.01,0.008000000000000007,0.026,0.012,26.9,
13879,110,"BAL",2021,23609,58.8,0.235,0.18,0.281,0.415,0.308,0.311,0.241,750,3189,88.4,13.3,2238,88.7,88.76,1778,6596,7283,0.09999999999999432,6.39,115,155,118,151,298,323,292,"3.1","-3.1",,,3474,2328,453,151,14,132,861,24.8,251,7.2,2.29867,0.65665,0.35312,-0.1436,"91.7",160,37.628865979381445,8.376288659793813,5.613126079447324,5.9,-0.47,0.08,2.3,0.298,195,"-0.022588083",0.303,0.41,"0.022588083",-0.006,-0.0050000000000000044,0.005,-0.003,27,"41.5"
13877,117,"HOU",2013,23064,60.2,0.239,0.131,0.308,0.37,0.296,,,790,3306,,,,88.4,,1676,6320,7557,,,,,,,,,,"29.1","-29.1",,,3569,2378,533,164,9,84,928,26,234,6.6,2.26315,0.75258,0.31129,-0.24592,,,0,0,0,5.99,-0.76,0.02,2.27,0.295,0,"-0.209375225",,,"0.209375225",,,,,26.5,
13867,111,"BOS",2013,25667,54,0.271,0.172,0.328,0.443,0.345,,,826,3051,,,,88.1,,1263,5788,8079,,,,,,,,,,"-54.6","54.6",,,3376,2326,510,202,19,95,725,21.5,295,8.7,2.26874,0.76728,0.4011,-0.19556,,,0,0,0,6.06,-0.54,-0.05,2.29,0.341,0,"0.393805437",,,"-0.393805437",,,,,21.8,
13861,146,"MIA",2021,23267,59.6,0.221,0.128,0.29,0.348,0.278,0.284,0.224,702,3181,88.2,11.1,2254,88.7,88.65,1854,6558,7303,-0.10000000000000853,6.31,116,155,118,149,300,321,293,"67.6","-67.6",,,3464,2224,470,138,14,80,957,27.6,244,7,2.31403,0.63915,0.3309,-0.07685,"91.6",151,38.938848920863315,6.070143884892086,3.8972286374133946,5.85,-0.74,0.07,2.26,0.284,135,"-0.487374648",0.287,0.355,"0.487374648",-0.003,-0.0030000000000000027,-0.007,-0.006,28.3,"40.3"
13857,136,"SEA",2012,23083,60,0.222,0.134,0.266,0.357,0.278,,,746,3357,,,,88.2,,1453,6334,7523,,,,,,,,,,"62.9","-62.9",,,3603,2554,493,146,16,91,803,22.3,235,6.5,2.51782,0.51505,0.46607,-0.23553,,,0,0,0,5.98,-0.54,-0.19,2.33,0.275,0,"-0.453893339",,,"0.453893339",,,,,22.9,
