"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
24962,147,"NYY",2024,24962,100,0.248,0.181,0.283,0.429,0.331,0.343,0.255,1352,5446,89.6,12.3,2254,89,89.22,2644,11130,13832,0.20000000000000284,6.49,111,148,118,149,298,325,293,"-119.7","119.7","70.1","7.3",6215,4195,857,243,15,237,1322,21.3,646,10.4,2.34797,0.58562,0.32377,-0.12727,"92.1",160,42.35995232419547,10.536352800953516,7.111826226870474,5.75,-0.75,-0.02,2.31,0.33,442,"0.479629036",0.339,0.443,"-0.479629036",-0.007,-0.009000000000000008,-0.014,-0.012,23.8,"38.2"
24950,144,"ATL",2019,24950,100,0.258,0.195,0.305,0.452,0.332,0.337,0.254,1432,5560,89.1,13.2,2234,89.3,88.98,3195,12026,12922,-0.29999999999999716,6.01,111,153,117,148,302,323,297,"-85.4","85.4",,,6263,4153,877,277,29,249,1467,23.4,580,9.3,2.27883,0.65527,0.41302,-0.11971,"92.1",168,38.574524440163735,9.053696123284373,6.003512693597317,5.8,-0.97,0.02,2.28,0.332,376,"0.342276553",0.331,0.457,"-0.342276553",0.004,0.0010000000000000009,-0.005,-0.005,26.6,
24947,111,"BOS",2016,24947,100,0.282,0.179,0.32,0.461,0.346,0.325,0.256,1598,5670,89.1,11.3,2208,88.7,87.95,2200,11021,13806,-0.7999999999999972,6.01,109,151,114,146,288,316,297,"-148.4","148.4",,,6319,4558,1022,343,25,208,1160,18.4,558,8.8,2.29009,0.71205,0.2993,-0.10718,"92.2",168,35.14699429574375,6.1649846423870125,4.446906156037348,6.09,-0.82,-0.04,2.24,0.348,281,"0.594825029",0.328,0.421,"-0.594825029",0.026,0.019999999999999962,0.04,0.021,20,
24944,142,"MIN",2014,24944,100,0.254,0.135,0.309,0.389,0.316,,,1412,5567,,,,88.2,,2484,11088,13749,,,,,,,,,,"-49.4","49.4",,,6233,4307,941,316,27,128,1329,21.3,544,8.7,2.29769,0.72504,0.4127,-0.18434,,,0,0,0,6.05,-0.52,-0.04,2.27,0.324,0,"0.198228031",,,"-0.198228031",,,,,22.4,
24930,133,"OAK",2018,24930,100,0.252,0.187,0.294,0.439,0.329,0.331,0.248,1407,5579,89.3,14.9,2234,88.1,87.62,2798,11475,13455,-0.5,5.96,109,153,115,147,297,320,293,"-106.3","106.3",,,6237,4248,838,322,20,227,1381,22.1,532,8.5,2.37985,0.64805,0.42702,-0.10533,"92.2",170,39.24199623352166,8.286252354048965,5.64373897707231,5.95,-0.69,0.08,2.24,0.323,352,"0.426261532",0.321,0.438,"-0.426261532",0.004,0.0020000000000000018,0.001,-0.002,24.4,
24922,139,"TB",2019,24922,100,0.254,0.178,0.306,0.431,0.321,0.327,0.252,1427,5628,89.3,11.2,2245,88.3,87.78,3117,11709,13212,-0.5,5.97,109,152,116,148,298,325,295,"25.7","-25.7",,,6265,4177,890,291,29,217,1493,23.8,522,8.3,2.32145,0.69171,0.38907,-0.11118,"92.3",162,39.28656930811587,8.30739765381853,5.538707102952913,5.93,-0.49,0.02,2.3,0.323,347,"-0.102961239",0.324,0.437,"0.102961239",0.002,-0.0010000000000000009,-0.006,-0.006,26.6,
24919,108,"LAA",2019,24919,100,0.247,0.175,0.281,0.422,0.316,0.324,0.251,1368,5542,87.9,12.9,2258,88.6,88.04,2465,10794,14124,-0.5999999999999943,5.93,109,152,117,148,298,320,295,"12.7","-12.7",,,6222,4312,859,268,21,220,1276,20.5,557,9,2.31563,0.68451,0.39481,-0.11403,"91.8",164,33.95176252319109,6.794990723562153,4.709096753455481,5.91,-0.63,0.07,2.25,0.321,293,"-0.050977166",0.327,0.42,"0.050977166",-0.004,-0.006000000000000005,0.002,-0.008,22.8,
24905,143,"PHI",2019,24905,100,0.246,0.181,0.293,0.427,0.314,0.315,0.243,1369,5571,88.5,13.4,2261,88.9,88.59,3055,11759,13145,-0.30000000000001137,6.05,111,152,114,148,297,322,295,"32.6","-32.6",,,6214,4186,817,311,26,215,1453,23.4,515,8.3,2.30253,0.65882,0.39875,-0.09377,"92.1",165,36.33540372670808,7.118967988533206,4.795622787254587,5.86,-0.83,0.04,2.3,0.314,298,"-0.130845212",0.314,0.416,"0.130845212",0.003,0,0.011,-0.001,26,
24900,134,"PIT",2016,24900,100,0.257,0.144,0.311,0.402,0.318,0.313,0.245,1426,5542,87.8,10.2,2192,89.1,88.63,2684,11303,13449,-0.5,6.13,109,149,110,146,298,314,290,"-30.6","30.6",,,6261,4285,964,277,32,153,1334,21.3,561,9,2.31254,0.64505,0.32646,-0.03127,"91.9",162,33.465577596266044,5.087514585764294,3.4818719054464147,6.07,-1.17,0.03,2.24,0.332,218,"0.122746988",0.325,0.39,"-0.122746988",0.012,0.007000000000000006,0.012,0.005,23.7,
24893,158,"MIL",2024,24893,100,0.248,0.155,0.305,0.403,0.319,0.312,0.24,1359,5470,87.8,11,2277,89.3,89.61,2783,11214,13675,0.29999999999999716,6.46,110,149,114,148,299,320,295,"-70.7","70.7","69.5","7.3",6148,4062,900,249,33,177,1457,23.7,577,9.4,2.30731,0.59988,0.33797,-0.09181,"91.6",153,38.55243722304284,7.213195470211718,4.765777488614184,5.74,-0.82,0.05,2.3,0.323,293,"0.283947294",0.317,0.386,"-0.283947294",0.008,0.006000000000000005,0.017,0.007,24.8,"38.7"
