Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2016,"TEX",6089,0.071604532,0.200361307,0.357377049,0.261719457,0.321528578,0.433303167,0.754831745,0.17158371,0.298062953,746.4547097505082,29.14316995898379,0.3240014415372301,94.68234404521472
2016,"TOR",6233,0.101395796,0.218514359,0.464023494,0.247855448,0.329519819,0.425807629,0.755327448,0.177952181,0.288871951,777.6665357527831,43.39114939696579,0.3266412044091448,104.17564224604266
2016,"ARI",6259,0.073973478,0.227991691,0.324456902,0.261076787,0.32046332,0.431774051,0.752237371,0.170697264,0.315467449,751.1253974305864,13.787094333994052,0.32132408417315955,92.5625691011457
2016,"ATL",6191,0.081085446,0.200290744,0.404838709,0.254624591,0.320711604,0.384294523,0.705006127,0.129669932,0.304947668,654.0894703922277,-75.23812738233768,0.3042138848132625,86.50786468998544
2016,"CHC",6335,0.103551696,0.21136543,0.489917849,0.256042158,0.343452002,0.428675268,0.77212727,0.17263311,0.302348825,821.9038260248642,75.61238168600602,0.3333256972089889,105.68011488575458
2016,"CIN",6094,0.074171316,0.210699048,0.352024922,0.255695279,0.315990057,0.407873154,0.723863211,0.152177875,0.303453343,677.7574293565388,-40.143132885134726,0.31117365150779197,88.7466054359402
2016,"COL",6236,0.079217447,0.213277742,0.371428571,0.275026718,0.336137172,0.457427858,0.79356503,0.18240114,0.325717063,836.1734375557289,101.54463772982207,0.3387094230715465,94.18217250872179
2016,"MIA",6134,0.072872513,0.197750244,0.368507831,0.263157894,0.322161984,0.394196106,0.71635809,0.131038212,0.313780918,674.2756532573344,-48.33708858553161,0.3094384311860862,94.46989087953982
2016,"HOU",6204,0.089297227,0.234042553,0.381542699,0.246528403,0.318601262,0.416591523,0.735192785,0.17006312,0.297758532,723.5015527873624,-7.357503357590462,0.31674877027327875,101.14884724421509
2016,"LAD",6164,0.085171966,0.21430889,0.397426192,0.249184487,0.319256481,0.408843783,0.728100264,0.159659296,0.293564356,704.4365493590923,-21.710327184667953,0.3144882249367194,97.16840027628403
2016,"MIL",6061,0.098828576,0.254578452,0.388204795,0.243714821,0.322231473,0.406754221,0.728985694,0.1630394,0.304240088,694.9323234712946,-19.08069059939512,0.31520297538892766,91.92451780651494
2016,"WSN",6201,0.086437671,0.201902918,0.428115015,0.255555555,0.32553226,0.425865209,0.751397469,0.170309654,0.292825768,744.1701095693899,13.664466894526544,0.3216047236795975,95.80994986895824
2016,"NYM",6115,0.084546197,0.212919051,0.397081413,0.24583257,0.316005922,0.416559809,0.732565731,0.170727239,0.28241206,699.2881462596703,-21.086310272629124,0.31461675820601864,98.8180089101763
2016,"PHI",5992,0.070761014,0.229639519,0.308139534,0.240338608,0.300706357,0.384615384,0.685321741,0.144276776,0.291571173,594.4160603498591,-111.46844390877364,0.29599338785033125,81.26813026941498
2016,"PIT",6261,0.089602299,0.213065005,0.42053973,0.257307831,0.332475884,0.40166005,0.734135934,0.144352219,0.311170862,735.3910599906094,-2.182852086042737,0.3184332198414712,97.49770169693916
2016,"STL",6223,0.084525148,0.211794954,0.399089529,0.255227108,0.325303152,0.442501802,0.767804954,0.187274694,0.294364804,785.8676289314608,52.7702874759417,0.32891382851808976,104.73229914658083
2016,"SDP",6001,0.074820863,0.24995834,0.299333333,0.235239852,0.298842864,0.390221402,0.689064266,0.15498155,0.290553056,599.8760584112424,-107.06868625765857,0.29727466151020326,84.20065592050416
2016,"SFG",6270,0.09122807,0.176555023,0.516711833,0.258221024,0.329477911,0.39802336,0.727501271,0.139802336,0.298811156,716.5289408935076,-22.10521159341283,0.3145859395559071,95.88290202824638
2017,"LAA",6073,0.086118886,0.197266589,0.436560934,0.242659279,0.314998348,0.397229916,0.712228264,0.154570637,0.276674025,668.8754950126752,-71.24424966069625,0.3067824038000379,91.67240520465116
2017,"BAL",6140,0.063843648,0.229967426,0.277620396,0.26,0.311796377,0.435044247,0.746840624,0.175044247,0.30596092,734.4602469227594,-13.824823436947616,0.31828939378778004,95.2556782184123
2017,"BOS",6338,0.090091511,0.193120858,0.466503267,0.25771741,0.329435929,0.406597283,0.736033212,0.148879873,0.299791328,748.2382059073377,-24.17722991348046,0.3163640555863243,91.27081238370327
