"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
803,119,"LAD",2016,23749,3.4,0.308,0.154,0.355,0.462,0.338,0.32,0.243,48,156,87.6,6.9,2197,89.5,88.95,106,399,396,-0.5999999999999943,6.06,89,146,108,143,295,312,294,"1.3","-1.3",,,194,132,35,6,3,4,42,21.6,18,9.3,2.22403,0.70698,0.44688,-0.17473,"92.0",167,37.121212121212125,6.8181818181818175,4.639175257731959,6.02,-0.82,-0.03,2.21,0.358,9,"-0.160398506",0.327,0.406,"0.160398506",0.065,0.030999999999999972,0.056,0.018,26.6,
802,135,"SD",2022,24392,3.3,0.292,0.125,0.301,0.417,0.317,0.294,0.249,49,168,85.7,14.1,2220,89.2,89.12,91,424,378,-0.10000000000000853,6.34,89,148,112,145,297,322,297,"2.4","-2.4",,,201,158,34,12,0,3,26,12.9,16,8,2.35686,0.59704,0.40469,-0.13757,"91.3",161,32.91139240506329,3.79746835443038,2.9850746268656714,5.61,-0.67,-0.06,2.33,0.332,6,"-0.297755611",0.309,0.354,"0.297755611",0.043,0.02300000000000002,0.063,0.023,21.5,"34.4"
802,140,"TEX",2015,23738,3.4,0.311,0.192,0.299,0.503,0.342,0.349,0.304,55,177,87.2,12.9,2116,88.1,87.8,86,398,395,-0.29999999999999716,6.09,88,141,104,142,291,312,290,"-7.5","7.5",,,210,166,37,10,0,8,29,13.8,11,5.2,2.30166,0.7184,0.40338,-0.06266,"92.6",173,34.33734939759036,4.819277108433735,3.8095238095238098,5.9,-0.53,-0.21,2.27,0.335,8,"0.9319202",0.347,0.448,"-0.9319202",0.007,-0.011999999999999955,0.055,-0.007,21.6,
798,142,"MIN",2016,24633,3.2,0.257,0.229,0.255,0.486,0.316,0.305,0.225,45,175,85.5,13,2197,88.5,87.95,88,391,407,-0.5,6.07,88,145,106,143,293,313,287,"2.6","-2.6",,,203,147,28,4,3,10,42,20.7,13,6.4,2.37243,0.63845,0.33957,-0.1341,"91.3",165,29.25170068027211,8.16326530612245,5.911330049261084,5.94,-0.42,-0.03,2.26,0.291,12,"-0.330701754",0.283,0.393,"0.330701754",0.032,0.008000000000000007,0.093,0.011,22.5,
798,111,"BOS",2014,25253,3.2,0.306,0.159,0.328,0.465,0.34,,,48,157,,,,88.6,,83,370,425,,,,,,,,,,"-9.7","9.7",,,193,138,32,11,1,4,36,18.7,17,8.8,2.24802,0.76201,0.30972,-0.15483,,,0,0,0,5.92,-0.68,-0.08,2.23,0.347,0,"1.219674185",,,"-1.219674185",,,,,22.4,
797,121,"NYM",2011,24023,3.3,0.25,0.125,0.288,0.375,0.285,,,42,168,,,,88.7,,84,356,437,,,,,,,,,,"11.8","-11.8",,,206,143,26,13,1,2,44,21.4,19,9.2,2.27882,0.70506,0.43665,-0.23876,,,0,0,0,6.08,-1.12,-0.28,2.32,0.299,0,"-1.480803011",,,"1.480803011",,,,,23.6,
796,112,"CHC",2015,24646,3.2,0.234,0.156,0.256,0.389,0.276,0.297,0.249,39,167,87,4.5,2094,88.6,87.75,117,390,389,-0.8999999999999915,5.95,89,143,105,143,287,308,290,"6.7","-6.7",,,197,137,25,8,0,6,44,22.3,16,8.1,2.3111,0.69787,0.49356,-0.15854,"92.8",157,35.03649635036496,5.839416058394161,4.060913705583756,5.98,-0.9,0.07,2.25,0.282,8,"-0.836055276",0.304,0.387,"0.836055276",-0.015,-0.02200000000000002,0.002,-0.021,30,
796,120,"WSH",2019,24642,3.2,0.305,0.228,0.311,0.533,0.364,0.388,0.294,51,167,88.8,17.6,2275,88.8,88.6,93,418,377,-0.20000000000000284,6.11,89,145,107,143,300,319,294,"-6.3","6.3",,,202,145,32,9,1,9,35,17.3,18,8.9,2.34937,0.6173,0.35448,-0.00544,"91.9",167,39.310344827586206,11.03448275862069,7.920792079207921,5.83,-0.65,0.1,2.16,0.363,16,"0.789321608",0.367,0.553,"-0.789321608",0.011,-0.0040000000000000036,-0.02,-0.024,22.2,
793,140,"TEX",2024,23201,3.4,0.329,0.199,0.357,0.527,0.382,0.339,0.267,48,146,87.1,9.3,2268,89.3,89.26,104,376,417,0,6.37,88,147,111,146,297,324,296,"-14.8","14.8","69.5","7.2",178,122,33,8,0,7,35,19.7,17,9.6,2.36716,0.54344,0.33204,-0.1366,"91.1",146,35.24590163934426,6.557377049180328,4.49438202247191,5.78,-0.85,0.04,2.27,0.388,8,"1.863051702",0.351,0.406,"-1.863051702",0.062,0.03700000000000003,0.121,0.043,27.7,"38.4"
788,119,"LAD",2022,25138,3.1,0.37,0.247,0.395,0.616,0.422,0.396,0.296,54,146,89,14.3,2226,88.8,88.85,95,362,426,0,6.28,88,146,110,142,300,319,298,"-28.8","28.8",,,191,126,33,13,1,7,38,19.9,19,9.9,2.36006,0.57676,0.32488,0.00475,"91.6",165,46.03174603174603,11.904761904761903,7.853403141361256,5.76,-0.5,0.06,2.33,0.424,15,"3.651522843",0.396,0.477,"-3.651522843",0.074,0.02799999999999997,0.139,0.026,26.2,"37.5"
